LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Mới nhất,Hợp nhất
Kiểm toán,,,VST Tính,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,,,87,60
2. Điều chỉnh cho các khoản,,,,
Khấu hao TSCĐ và BĐSĐT,,,145,136
Các khoản dự phòng,,,3,-2
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,,-9,-1
"Lãi, lỗ từ hoạt động đầu tư",,,73,89
Chi phí lãi vay,,,51,40
"Lãi, lỗ từ thanh lý TSCĐ",,,,
Thu nhập lãi vay và cổ tức,,,,
Phân bổ lợi thế thương mại,,,,
Điều chỉnh cho các khoản khác,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,,351,322
"Tăng, giảm các khoản phải thu",,,284,-403
"Tăng, giảm hàng tồn kho",,,-212,134
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",,,139,35
"Tăng, giảm chi phí trả trước",,,-6,-19
"Tăng, giảm chứng khoán kinh doanh",,,,
Tiền lãi vay đã trả,,,-61,-52
Thuế thu nhập doanh nghiệp đã nộp,,,-4,-77
Tiền thu khác từ hoạt động kinh doanh,,,,
Tiền chi khác cho hoạt động kinh doanh,,,-8,-8
Lưu chuyển tiền thuần từ hoạt động kinh doanh,,,484,-69
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",,,-486,-665
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,,13,1
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,,252,-216
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,,775,633
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,-829,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,1,-206
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,,51,44
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,,,-224,-409
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,
3. Tiền thu từ đi vay,,,2195,1744
4. Tiền trả nợ gốc vay,,,-1988,-1576
5. Tiền trả nợ gốc thuê tài chính,,,-4,-4
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,,,
7. Tiền thu khác từ hoạt động tài chính,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,,,204,164
Lưu chuyển tiền thuần trong kỳ,,,465,-314
Tiền và tương đương tiền đầu kỳ,,,1946,2421
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,10,
Tiền và tương đương tiền cuối kỳ,,,2421,2107
